Region,water,Latitude_N,Longitude,Location,Depth_m,Depth_range,SCOC (mmol O2 m-2 d-1),ex_in_situ,Measurement_sampling_device,TOU_DOU_AOU,sediment_type,photosynthetic_sediment,study
"Moreton Bay, Deception Bay",Pacific Ocean,-27.13,153.07,approximated location,29,near-shore (0-50m),23.88,ex situ ,core incubation,TOU,NA,yes,no
Chukchi Sea,Arctic Ocean,67.15,-172,exact location,38,near-shore (0-50m),23.9,ex situ ,core incubation,TOU,NA,NA,no
Yemen-Somalia,Indian Ocean,-2.72,40.55,exact location,50,near-shore (0-50m),23.9,ex situ ,core incubation,TOU,NA,no,no
Great Barrier Reef shelf,Pacific Ocean,-20.225,150.9033,exact location,160,continental shelf (>50-200m),23.9,in situ,benthic incubation chamber,TOU,sand/ silt/ clay,yes,no
New Caledonia,Pacific Ocean,-22.3815,166.4207,exact location,20,near-shore (0-50m),23.95,in situ,benthic incubation chamber,TOU,sand,yes,no
Louisiana continental shelf,Atlantic Ocean,29,-89.5017,exact location,13,near-shore (0-50m),24,in situ,benthic incubation chamber,TOU,silt/ clay,NA,no
Gulf of Fos,Mediterranean Sea,43.6147,4.9625,exact location,9,near-shore (0-50m),24,ex situ,core incubation,TOU,muddy sand,NA,no
Bering Sea,Pacific Ocean,63.12,-173.09,exact location,59,continental shelf (>50-200m),24,ex situ ,core incubation,TOU,NA,NA,no
California,Pacific Ocean,33.75,-118.44,exact location,64,continental shelf (>50-200m),24,in situ,lander with benthic chambers,TOU,NA,no,no
California,Pacific Ocean,33.72,-118.38,exact location,63,continental shelf (>50-200m),24,in situ,lander with benthic chambers,TOU,NA,no,no
Chukchi Sea,Arctic Ocean,71.64,-155.9,exact location,169,continental shelf (>50-200m),24.05,ex situ ,core incubation,TOU,NA,not investigated,no
Mid-Atlantic Bight,Atlantic Ocean,39.4515,-74.2884,approximated location,11,near-shore (0-50m),24.09,in situ,benthic incubation chamber,TOU,sand,yes,no
Aulne Estuary,Atlantic Ocean,48.29,-4.25,approximated location,1,near-shore (0-50m),24.09,ex situ ,core microprofiling,DOU,NA,yes,no
"W Falmouth Harbor, Cape Cod, Massachusetts",Atlantic Ocean,41.6067,-70.6501,exact location,1.5,near-shore (0-50m),24.1,in situ,eddy covariance system ,TOU,sand/ gravel,yes,no
Gulf of Cadiz,Atlantic Ocean,36.571,-6.3856,approximated location,32,near-shore (0-50m),24.1025641,in situ,benthic incubation chamber,TOU,mud/ sandy mud,yes,no
"Boulari Bay, New Caledonia",Pacific Ocean,-22.27,166.5422,exact location,14,near-shore (0-50m),24.15,in situ,benthic incubation chamber,TOU,mud,yes,no
"Buzzard Bay, Massachusetts",Atlantic Ocean,41.47,-70.86,approximated location,10,near-shore (0-50m),24.2,ex situ ,core incubation,TOU,NA,no,no
Chukchi Sea,Arctic Ocean,68,-168.92,exact location,60,continental shelf (>50-200m),24.22,ex situ ,core incubation,TOU,NA,NA,no
Chukchi Sea,Arctic Ocean,68,-168.93,exact location,60,continental shelf (>50-200m),24.27,ex situ ,core incubation,TOU,NA,NA,no
Lake Erie,Lake,42.35,-79.6,approximated location,23,great lake,24.2784,ex situ,core microprofiling,DOU,NA,not investigated,no
Plum Island Sound Estuary,Atlantic Ocean,42.7,-70.79,approximated location,2.5,near-shore (0-50m),24.3,ex situ ,core incubation,TOU,NA,yes,no
Chukchi Sea,Arctic Ocean,68,-168.92,exact location,54,continental shelf (>50-200m),24.34,ex situ ,core incubation,TOU,NA,no,no
"Buzzard Bay, Massachusetts",Atlantic Ocean,41.61,-70.75,approximated location,10,near-shore (0-50m),24.4,ex situ ,core incubation,TOU,NA,no,no
Chukchi Sea,Arctic Ocean,67.5,-168.91,exact location,50,near-shore (0-50m),24.44,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,64.99,-169.14,exact location,49,near-shore (0-50m),24.49,ex situ ,core incubation,TOU,NA,NA,no
Gulf of Mexico,Gulf of Mexico,29.21,-89.87,approximated location,20,near-shore (0-50m),24.5,in situ,benthic incubation chamber,TOU,NA,NA,no
Bering Sea,Pacific Ocean,58.83,-168.16,exact location,46,near-shore (0-50m),24.5,ex situ ,core incubation,TOU,NA,NA,no
Black Sea,Black Sea,43.9992,29.365,exact location,56,continental shelf (>50-200m),24.57,ex situ ,core incubation,TOU,silt/ clay,no,no
Aulne Estuary,Atlantic Ocean,48.26,-4.22,approximated location,1,near-shore (0-50m),24.62,ex situ ,core microprofiling,DOU,NA,yes,no
Mid-Atlantic Bight,Atlantic Ocean,39.4515,-74.2884,approximated location,11,near-shore (0-50m),24.65,in situ,benthic incubation chamber,TOU,sand,yes,no
New Caledonia,Pacific Ocean,-22.3227,166.4635,exact location,22,near-shore (0-50m),24.6528,ex situ,core microprofiling,DOU,mud,yes,no
Chukchi Sea,Arctic Ocean,67.5,-168.91,exact location,50,near-shore (0-50m),24.67,ex situ ,core incubation,TOU,NA,NA,no
Young Sound,Arctic Ocean,74.3,-20.3,approximated location,22.5,near-shore (0-50m),24.72,in situ,eddy covariance system,TOU,fine silty mud/ muddy silt with small drop stones and gravel,yes,no
"Curonian Lagoon (SE Baltic Sea, Lithuania)",Atlantic Ocean,55.44,21.1,approximated location,2.5,near-shore (0-50m),24.72,ex situ ,core microprofiling,DOU,mud,yes,no
"Firth of Thames, New Zealand",Pacific Ocean,-37.1864,175.3829,approximated location,4.2,near-shore (0-50m),24.75294118,ex situ ,core incubation,TOU,silt/ clay,yes,no
Bay of Banyuls,Mediterranean Sea,42.4833,3.15,exact location,35,near-shore (0-50m),24.81,in situ,lander with benthic chambers,TOU,mud/ clay,no,no
Chukchi Sea,Arctic Ocean,71.58,-156.02,exact location,186,continental shelf (>50-200m),24.92,ex situ ,core incubation,TOU,coarse sand/ silt,not investigated,no
"Curonian Lagoon (SE Baltic Sea, Lithuania)",Atlantic Ocean,55.28,21.01,approximated location,3.5,near-shore (0-50m),24.96,ex situ ,core microprofiling,DOU,mud,yes,no
Lake Erie,Lake,42.4,-79.75,approximated location,44,great lake,24.9696,ex situ,core microprofiling,DOU,NA,not investigated,no
Tolo Harbour,Pacific Ocean,22.4284,114.2204,approximated location,NA,near-shore (0-50m),24.975,ex situ ,core incubation,TOU,NA,NA,no
New Caledonia,Pacific Ocean,-22.2258,166.3845,exact location,18,near-shore (0-50m),24.98,in situ,benthic incubation chamber,TOU,mud,yes,no
New Caledonia,Pacific Ocean,-22.287,166.4627,exact location,10,near-shore (0-50m),24.9912,ex situ,core incubation,TOU,mud,yes,no
Gulf of Fos,Mediterranean Sea,43.6147,4.9625,exact location,9,near-shore (0-50m),25,ex situ,core incubation,TOU,muddy sand,NA,no
California,Pacific Ocean,33.72,-118.38,exact location,63,continental shelf (>50-200m),25,in situ,lander with benthic chambers,TOU,NA,no,no
Australia,Pacific Ocean,-38.03,144.91,approximated location,20,near-shore (0-50m),25,in situ,benthic incubation chamber,TOU,NA,no,no
Black Sea,Black Sea,45.0814,29.7814,exact location,21,near-shore (0-50m),25.22,ex situ ,core incubation,TOU,silt/ clay,no,no
Chukchi Sea,Arctic Ocean,67.5,-168.91,exact location,51,continental shelf (>50-200m),25.37,ex situ ,core incubation,TOU,NA,NA,no
Aulne Estuary,Atlantic Ocean,48.27,-4.27,approximated location,1,near-shore (0-50m),25.38,ex situ ,core microprofiling,DOU,NA,yes,no
Gulf of Fos,Mediterranean Sea,43.6147,4.9625,exact location,9,near-shore (0-50m),25.4,ex situ,core incubation,TOU,muddy sand,NA,no
Great Barrier Reef shelf,Pacific Ocean,-20.015,150.7433,exact location,150,continental shelf (>50-200m),25.4,in situ,benthic incubation chamber,TOU,sand/ silt/ clay,yes,no
"Heron Island, Great Barrier Reef",Pacific Ocean,-23.45,151.92,exact location,1.4,near-shore (0-50m),25.4,in situ,benthic incubation chamber,TOU,fine sand,yes,no
"Curonian Lagoon (SE Baltic Sea, Lithuania)",Atlantic Ocean,55.42,21.14,approximated location,1.7,near-shore (0-50m),25.44,ex situ ,core microprofiling,DOU,muddy sand,yes,no
"Banc d'Arguin, Mauritania",Atlantic Ocean,20.5316,-18.0738,approximated location,50,near-shore (0-50m),25.536,ex situ,core incubation,TOU,NA,no,no
Plum Island Sound Estuary,Atlantic Ocean,42.7,-70.79,approximated location,2.5,near-shore (0-50m),25.7,ex situ ,core incubation,TOU,NA,yes,no
"Taean Bay, Korean Peninsula",Pacific Ocean,36.7501,126.182,approximated location,6,near-shore (0-50m),25.7,ex situ ,core incubation,TOU,sandy silt,yes,no
Great Barrier Reef shelf,Pacific Ocean,-21.3183,150.3033,exact location,55,continental shelf (>50-200m),25.7,in situ,benthic incubation chamber,TOU,silt/ clay/ sand,yes,no
Great Barrier Reef shelf,Pacific Ocean,-20.9517,149.08,exact location,5,near-shore (0-50m),25.8,in situ,benthic incubation chamber,TOU,sand/ silt/ clay,yes,no
Chukchi Sea,Arctic Ocean,67.33,-169,exact location,51,continental shelf (>50-200m),25.88,ex situ ,core incubation,TOU,NA,NA,no
Danube delta front,Black Sea,45.2,29.84,exact location,26,near-shore (0-50m),25.9,in situ,lander with benthic chambers,TOU,NA,no,no
"Maliankara, India",Indian Ocean,10.1762,76.1785,approximated location,NA,near-shore (0-50m),25.99632,in situ,benthic incubation chamber,TOU,sand,yes,no
"Thanneermukkam, India",Indian Ocean,9.6806,76.4063,approximated location,NA,near-shore (0-50m),25.99632,in situ,benthic incubation chamber,TOU,silty sand,yes,no
"Nichupte lagoon, Mexico",Atlantic Ocean,21.1295,-86.7797,approximated location,0.3,near-shore (0-50m),26,ex situ,core incubation,TOU,NA,yes,no
"Nichupte lagoon, Mexico",Atlantic Ocean,21.1001,-86.7764,approximated location,0.3,near-shore (0-50m),26,ex situ,core incubation,TOU,NA,yes,no
Plum Island Sound Estuary,Atlantic Ocean,42.7,-70.79,approximated location,2.5,near-shore (0-50m),26,ex situ ,core incubation,TOU,NA,yes,no
California,Pacific Ocean,33.75,-118.44,exact location,64,continental shelf (>50-200m),26,in situ,lander with benthic chambers,TOU,NA,no,no
California,Pacific Ocean,33.7,-118.35,exact location,67,continental shelf (>50-200m),26,in situ,lander with benthic chambers,TOU,NA,no,no
Chukchi Sea,Arctic Ocean,67.67,-168.96,exact location,54,continental shelf (>50-200m),26.06,ex situ ,core incubation,TOU,NA,NA,no
Chukchi Sea,Arctic Ocean,68,-168.93,exact location,58,continental shelf (>50-200m),26.1,ex situ ,core incubation,TOU,NA,NA,no
"Taean Bay, Korean Peninsula",Pacific Ocean,36.7314,126.1771,approximated location,6,near-shore (0-50m),26.1,ex situ ,core incubation,TOU,sandy silt,yes,no
New Caledonia,Pacific Ocean,-22.3815,166.4207,exact location,20,near-shore (0-50m),26.1672,ex situ,core microprofiling,DOU,sand,yes,no
Bering Sea,Pacific Ocean,65.18,-168.54,exact location,50,near-shore (0-50m),26.25,ex situ ,core incubation,TOU,NA,no,no
Lake Erie,Lake,42.1,-81.25,approximated location,23,great lake,26.2656,ex situ,core microprofiling,DOU,NA,not investigated,no
Black Sea,Black Sea,46.04,30.48,exact location,13,near-shore (0-50m),26.27,ex situ ,core incubation,TOU,NA,NA,no
NE Atlantic Ocean,Atlantic Ocean,48.73,-16.57,exact location,4860,abyssal plain/ continental rise (>2000m),26.3,in situ,lander with benthic chambers,TOU,calcareous ooze,not investigated,no
Chukchi Sea,Arctic Ocean,68,-168.93,exact location,58,continental shelf (>50-200m),26.34,ex situ ,core incubation,TOU,NA,NA,no
Onslow Bay,Atlantic Ocean,33.4586,-77.2091,approximated location,29.9,near-shore (0-50m),26.4,in situ,benthic incubation chamber,TOU,limestone outcrop,yes,no
"Curonian Lagoon (SE Baltic Sea, Lithuania)",Atlantic Ocean,55.34,21.21,approximated location,1,near-shore (0-50m),26.4,ex situ ,core microprofiling,DOU,sand,yes,no
"Laguna de Términos, Mexico",Gulf of Mexico,18.73,-91.36,exact location,2.6,near-shore (0-50m),26.5,ex situ ,core incubation,TOU,NA,yes,no
Gulf of Fos,Mediterranean Sea,43.6147,4.9625,exact location,9,near-shore (0-50m),26.5,in situ,lander with microprofiler,DOU,muddy sand,NA,no
Gulf of Valencia,Mediterranean Sea,39.0103,-0.1553,exact location,9,near-shore (0-50m),26.50273224,in situ,benthic incubation chamber,TOU,fine sand,yes,no
Tolo Harbour,Pacific Ocean,22.467,114.2919,approximated location,NA,near-shore (0-50m),26.55,ex situ ,core incubation,TOU,NA,NA,no
Chukchi Sea,Arctic Ocean,67.5,-168.91,exact location,51,continental shelf (>50-200m),26.77,ex situ ,core incubation,TOU,NA,NA,no
Black Sea,Black Sea,45.5383,29.7761,exact location,16,near-shore (0-50m),26.8,ex situ ,core incubation,TOU,silt/ clay,no,no
Chukchi Sea,Arctic Ocean,67.86,-168.34,exact location,58,continental shelf (>50-200m),26.83,ex situ ,core incubation,TOU,NA,NA,no
Great Barrier Reef shelf,Pacific Ocean,-21.495,149.4433,exact location,5,near-shore (0-50m),26.9,in situ,benthic incubation chamber,TOU,sand/ silt/ clay,yes,no
Chesapeake Bay,Atlantic Ocean,38.509,-76.3776,approximated location,16,near-shore (0-50m),26.91,ex situ ,core incubation,TOU,NA,NA,no
"Magenta Bay, New Caledonia",Pacific Ocean,-22.275,166.4925,exact location,14,near-shore (0-50m),26.925,in situ,benthic incubation chamber,TOU,mud,yes,no
Onslow Bay,Atlantic Ocean,34.1083,-77.3302,approximated location,28,near-shore (0-50m),27,in situ,benthic incubation chamber,TOU,limestone outcrop,yes,no
New Bedford Harbor,Atlantic Ocean,41.64,-70.91,approximated location,3,near-shore (0-50m),27,ex situ ,core incubation,TOU,NA,NA,no
California,Pacific Ocean,33.75,-118.44,exact location,64,continental shelf (>50-200m),27,in situ,lander with benthic chambers,TOU,NA,no,no
Australia,Pacific Ocean,-38.04,144.6,approximated location,8,near-shore (0-50m),27,in situ,benthic incubation chamber,TOU,NA,no,no
Australia,Pacific Ocean,-38.09,145.06,approximated location,12,near-shore (0-50m),27,in situ,benthic incubation chamber,TOU,NA,no,no
Plum Island Sound Estuary,Atlantic Ocean,42.7,-70.79,approximated location,2.5,near-shore (0-50m),27.1,ex situ ,core incubation,TOU,NA,yes,no
"Laguna de Términos, Mexico",Gulf of Mexico,18.59,-91.79,exact location,2.4,near-shore (0-50m),27.24,ex situ ,core incubation,TOU,NA,yes,no
"Laguna de Términos, Mexico",Gulf of Mexico,18.49,-91.67,exact location,4.3,near-shore (0-50m),27.24,ex situ ,core incubation,TOU,NA,yes,no
Chukchi Sea,Arctic Ocean,68,-168.93,exact location,59,continental shelf (>50-200m),27.28,ex situ ,core incubation,TOU,NA,NA,no
Great Barrier Reef shelf,Pacific Ocean,-20.225,150.9033,exact location,160,continental shelf (>50-200m),27.4,in situ,benthic incubation chamber,TOU,sand/ silt/ clay,yes,no
Gulf of Fos,Mediterranean Sea,43.6147,4.9625,exact location,9,near-shore (0-50m),27.6,in situ,lander with microprofiler,DOU,muddy sand,NA,no
"Taean Bay, Korean Peninsula",Pacific Ocean,36.7501,126.182,approximated location,6,near-shore (0-50m),27.6,ex situ ,core incubation,TOU,sandy silt,yes,no
Chukchi Sea,Arctic Ocean,67.74,-168.45,exact location,50,near-shore (0-50m),27.66,ex situ ,core incubation,TOU,NA,NA,no
"Buzzard Bay, Massachusetts",Atlantic Ocean,41.59,-70.9,approximated location,10,near-shore (0-50m),27.7,ex situ ,core incubation,TOU,NA,no,no
German Wadden See,Atlantic Ocean,53.83,7.74,exact location,16,near-shore (0-50m),27.7,in situ,benthic incubation chamber,TOU,medium sand,no,no
Gulf of Fos,Mediterranean Sea,43.6147,4.9625,exact location,9,near-shore (0-50m),27.7,ex situ,core incubation,TOU,muddy sand,NA,no
Bering Sea,Pacific Ocean,62.28,-171.57,exact location,47,near-shore (0-50m),27.79,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,62.2775,-171.565,exact location,47,near-shore (0-50m),27.79,ex situ ,core incubation,TOU,very fine sand/ silt/ fine sand,NA,no
"Banc d'Arguin, Mauritania",Atlantic Ocean,20.1937,-18.0698,approximated location,33,near-shore (0-50m),27.816,ex situ,core incubation,TOU,NA,no,no
Lake Grevelingen,Atlantic Ocean,51.75,3.89,exact location,34,near-shore (0-50m),27.84,ex situ ,core microprofiling,DOU,NA,no,no
"Buzzard Bay, Massachusetts",Atlantic Ocean,41.55,-70.84,approximated location,10,near-shore (0-50m),27.9,ex situ ,core incubation,TOU,NA,no,no
Plum Island Sound Estuary,Atlantic Ocean,42.7,-70.79,approximated location,2.5,near-shore (0-50m),27.9,ex situ ,core incubation,TOU,NA,yes,no
"Laguna de Términos, Mexico",Gulf of Mexico,18.49,-91.56,exact location,4.3,near-shore (0-50m),27.98,ex situ ,core incubation,TOU,NA,yes,no
California,Pacific Ocean,37.6,-122.28,approximated location,2,near-shore (0-50m),28,in situ,benthic incubation chamber,TOU,NA,NA,no
Australia,Pacific Ocean,-38.17,144.94,approximated location,24,near-shore (0-50m),28,in situ,benthic incubation chamber,TOU,NA,no,no
"flat, Neuharlingersiel, North Sea",Atlantic Ocean,53.7025,7.7092,exact location,1.25,near-shore (0-50m),28.056,in situ,benthic incubation chamber,TOU,mud,yes,no
Chukchi Sea,Arctic Ocean,67.77,-166.17,exact location,54,continental shelf (>50-200m),28.19,ex situ ,core incubation,TOU,NA,no,no
Bering Sea,Pacific Ocean,65.13,-169.19,exact location,51,continental shelf (>50-200m),28.19,ex situ ,core incubation,TOU,NA,no,no
Black Sea,Black Sea,44.5822,29.1897,exact location,27,near-shore (0-50m),28.2,ex situ ,core incubation,TOU,silt/ clay,no,no
New Caledonia,Pacific Ocean,-22.3227,166.4635,exact location,22,near-shore (0-50m),28.2,in situ,benthic incubation chamber,TOU,mud,yes,no
Gulf of Valencia,Mediterranean Sea,39.0103,-0.1553,exact location,9,near-shore (0-50m),28.22580645,in situ,benthic incubation chamber,TOU,fine sand,yes,no
Adriatic Sea,Mediterranean Sea,44.97,12.65,exact location,25,near-shore (0-50m),28.24,in situ,benthic incubation chamber,TOU,silt,no,no
Bering Sea,Pacific Ocean,64.97,-168.47,exact location,47,near-shore (0-50m),28.28,ex situ ,core incubation,TOU,NA,no,no
New Caledonia,Pacific Ocean,-22.3053,166.4642,exact location,12,near-shore (0-50m),28.3272,ex situ,core microprofiling,DOU,mud,yes,no
Black Sea,Black Sea,45.63,31.8,exact location,37,near-shore (0-50m),28.36,ex situ ,core incubation,TOU,NA,NA,no
Great Barrier Reef shelf,Pacific Ocean,-20.765,150.3733,exact location,42,near-shore (0-50m),28.4,in situ,benthic incubation chamber,TOU,sand/ silt/ clay,yes,no
Tolo Harbour,Pacific Ocean,22.4449,114.1979,approximated location,NA,near-shore (0-50m),28.425,ex situ ,core incubation,TOU,NA,NA,no
Onslow Bay,Atlantic Ocean,33.4586,-77.2091,approximated location,29,near-shore (0-50m),28.6,in situ,benthic incubation chamber,TOU,limestone outcrop,yes,no
Yemen-Somalia,Indian Ocean,-3.15,40.24,exact location,50,near-shore (0-50m),28.6,in situ,lander with benthic chambers,TOU,NA,no,no
New Caledonia,Pacific Ocean,-22.287,166.4627,exact location,10,near-shore (0-50m),28.6344,ex situ,core microprofiling,DOU,mud,yes,no
Chukchi Sea,Arctic Ocean,67.33,-169,exact location,50,near-shore (0-50m),28.65,ex situ ,core incubation,TOU,NA,NA,no
Plum Island Sound Estuary,Atlantic Ocean,42.7,-70.79,approximated location,2.5,near-shore (0-50m),28.8,ex situ ,core incubation,TOU,NA,yes,no
Eel Pond,Atlantic Ocean,41.6576,-70.8211,exact location,2,near-shore (0-50m),28.81,in situ,benthic incubation chamber,TOU,NA,NA,no
Bering Sea,Pacific Ocean,64.38,-169.33,exact location,26,near-shore (0-50m),28.94,ex situ ,core incubation,TOU,NA,NA,no
German Bight,Atlantic Ocean,53.9865,7.8678,approximated location,29,near-shore (0-50m),29,ex situ,flow through reactor,AOU,sand,NA,no
Australia,Pacific Ocean,-38.1,144.85,approximated location,17,near-shore (0-50m),29,in situ,benthic incubation chamber,TOU,NA,no,no
Chukchi Sea,Arctic Ocean,68.87,-168.92,exact location,52,continental shelf (>50-200m),29.02,ex situ ,core incubation,TOU,NA,no,no
"Banc d'Arguin, Mauritania",Atlantic Ocean,19.6663,-17.117,approximated location,22,near-shore (0-50m),29.04,in situ,benthic incubation chamber,TOU,silt,no,no
New Caledonia,Pacific Ocean,-22.257,166.3227,exact location,24,near-shore (0-50m),29.0808,ex situ,core microprofiling,DOU,mud,yes,no
Bering Sea,Pacific Ocean,63.33,-172.27,exact location,59,continental shelf (>50-200m),29.11,ex situ ,core incubation,TOU,NA,NA,no
